term,estimate,std.error,statistic,p.value,conf.low,conf.high,df_used,model
(Intercept),5.683366631227909,0.017255912933888642,329.3576325403466,1.2482671242380012e-28,5.646356378879436,5.720376883576383,14,Model 1: Unadjusted
log_lead,0.042072212084301674,0.023425913403219017,1.795968906745827,0.09410545496284807,-0.008171375135237732,0.09231579930384108,14,Model 1: Unadjusted
(Intercept),4.843752388144868,0.08641487223190071,56.052300524686295,1.5087388762097924e-10,4.639413685567023,5.048091090722712,7,Model 2: Demo-adjusted
log_lead,-0.22362661914002904,0.03008379381470419,-7.433458044467984,1.4523866533114414e-4,-0.29476348757419557,-0.15248975070586251,7,Model 2: Demo-adjusted
age,0.02252900850711707,7.515687539766951e-4,29.9759780963641,1.1854300249243626e-8,0.020751830804724408,0.024306186209509733,7,Model 2: Demo-adjusted
sexFemale,-0.16518153525431892,0.040204462304033906,-4.108537356007506,0.00452421897691829,-0.2602499818406854,-0.07011308866795243,7,Model 2: Demo-adjusted
race_ethOther Hispanic,-0.1418956015504275,0.07976013451620863,-1.7790291153733182,0.11846294776280263,-0.3304983499377571,0.046707146836902136,7,Model 2: Demo-adjusted
race_ethNon-Hispanic White,-0.2993931982859796,0.07695845029724725,-3.890322597838079,0.0059729069369312895,-0.48137101622384837,-0.1174153803481108,7,Model 2: Demo-adjusted
race_ethNon-Hispanic Black,0.055269478107522495,0.06393295450963017,0.8644912241494689,0.4159567026776996,-0.09590793660192728,0.2064468928169723,7,Model 2: Demo-adjusted
race_ethNon-Hispanic Asian,0.00945402862789667,0.06808313830022682,0.13886005939102214,0.8934712059374035,-0.15153701132136518,0.17044506857715855,7,Model 2: Demo-adjusted
race_ethOther/Multiracial,-0.16594634144077947,0.0894181709381218,-1.8558458498957207,0.10585501743274692,-0.3773867169741314,0.04549403409257244,7,Model 2: Demo-adjusted
(Intercept),4.4128584284586125,0.16639207536002934,26.520844931528924,5.114939856497133e-14,4.05820211504773,4.767514741869495,15,Model 3: Fully adjusted
log_lead,-0.21369345159623687,0.02985851447712936,-7.156868161003757,3.2994875956868077e-6,-0.2773353687096042,-0.15005153448286954,15,Model 3: Fully adjusted
age,0.02197311565566892,7.685148827685156e-4,28.591659248695958,1.6904853591881964e-14,0.020335064958036043,0.023611166353301797,15,Model 3: Fully adjusted
sexFemale,-0.154236029605987,0.040550255042080235,-3.8035773004616513,0.0017305264774299192,-0.2406668522877619,-0.06780520692421212,15,Model 3: Fully adjusted
race_ethOther Hispanic,-0.06344405554544448,0.07590347651892979,-0.8358517745840269,0.41635474741075196,-0.2252284860781244,0.09834037498723545,15,Model 3: Fully adjusted
race_ethNon-Hispanic White,-0.18038507080844576,0.06833694480479748,-2.6396420168286796,0.018571652170595244,-0.32604182075757476,-0.034728320859316764,15,Model 3: Fully adjusted
race_ethNon-Hispanic Black,0.10797149146918765,0.05583694426174694,1.9336926992825663,0.07224894089703744,-0.011042138002959362,0.22698512094133466,15,Model 3: Fully adjusted
race_ethNon-Hispanic Asian,0.23200634044352167,0.07603146219876439,3.05145177712092,0.00807950701376999,0.0699491148917201,0.3940635659953232,15,Model 3: Fully adjusted
race_ethOther/Multiracial,-0.10713666600977625,0.07472874475189144,-1.4336741017861745,0.1721811926018469,-0.26641721505144766,0.05214388303189518,15,Model 3: Fully adjusted
educ9-11th grade,-0.2558258416879207,0.10919330027003908,-2.342871229784739,0.033336790471193326,-0.48856585192666757,-0.023085831449173866,15,Model 3: Fully adjusted
educHigh school/GED,-0.24633118605174398,0.09196000929772392,-2.678677263442174,0.017177234495129232,-0.44233930607905037,-0.05032306602443762,15,Model 3: Fully adjusted
educSome college/AA,-0.3486792767888054,0.09867018284079994,-3.5337856559096914,0.0030076355862100617,-0.5589897931651283,-0.13836876041248244,15,Model 3: Fully adjusted
educCollege graduate+,-0.341796148422763,0.11444739484413205,-2.9864912948718603,0.009222909506483832,-0.5857349961537884,-0.09785730069173762,15,Model 3: Fully adjusted
pir,-0.026826581839630645,0.008095537091272146,-3.313749481619023,0.004723826560426058,-0.04408181069388496,-0.009571352985376327,15,Model 3: Fully adjusted
bmi,0.02329899238101012,0.0020423702743495543,11.407819959791713,8.605296409337595e-9,0.01894578318788297,0.02765220157413727,15,Model 3: Fully adjusted
smoke_statusFormer,0.07569116584406543,0.047198178232760526,1.6036882921792046,0.12962674554751627,-0.024909369701401257,0.17629170138953212,15,Model 3: Fully adjusted
smoke_statusCurrent,0.11971389238152554,0.06240089864233143,1.9184642366722937,0.07428858024731666,-0.013290474672193367,0.25271825943524445,15,Model 3: Fully adjusted
