term,estimate,std.error,statistic,p.value,conf.low,conf.high,df_used,model
(Intercept),0.5615993763968448,0.04912167446422144,-11.745661013568942,1.2307731112081736e-8,0.5054419670618948,0.6239961857593491,14,Model 1: Unadjusted
log_lead,1.3621429350028667,0.06531305248089571,4.73196605299396,3.2119357627900216e-4,1.1840924091072804,1.5669667004934906,14,Model 1: Unadjusted
(Intercept),0.025462110500123723,0.14542981160678398,-25.239417929463443,3.912480520550415e-8,0.018052869099090308,0.03591224572459675,7,Model 2: Demo-adjusted
log_lead,0.5964345064876002,0.07864896079546443,-6.570790441195932,3.126977944504023e-4,0.49521608324168187,0.71834121016521435,7,Model 2: Demo-adjusted
age,1.0756984559859797,0.0033749519897794504,21.62110077959972,1.1416826405500633e-7,1.0671480153876658,1.0843174063255583,7,Model 2: Demo-adjusted
sexFemale,0.6191332741342038,0.09844117993640748,-4.87026592158058,0.0018137034329191422,0.49055831146653245,0.7814076373391362,7,Model 2: Demo-adjusted
race_ethOther Hispanic,0.7408587249189682,0.165869203666314,-1.8083243897199834,0.11349294776297972,0.5004919981459853,1.0966641870834917,7,Model 2: Demo-adjusted
race_ethNon-Hispanic White,0.4484216578478042,0.15383230887575725,-5.213607560901161,0.0012344279324633272,0.31168042438885996,0.6451543552061468,7,Model 2: Demo-adjusted
race_ethNon-Hispanic Black,1.626446170838271,0.12434894993218774,3.9115518993943357,0.005811820077611806,1.2121053770461454,2.182423407015185,7,Model 2: Demo-adjusted
race_ethNon-Hispanic Asian,1.3465728558757157,0.15893643424992993,1.8722122514220036,0.10334148485476921,0.9247219257379757,1.9608688901089992,7,Model 2: Demo-adjusted
race_ethOther/Multiracial,0.8951411135061675,0.3100440755478924,-0.35728437712592936,0.7314078584948822,0.4300251238183018,1.863327439974472,7,Model 2: Demo-adjusted
(Intercept),0.002179481754469855,0.3542758278965374,-17.299142857525055,2.5528304648151684e-11,0.001024255563141149,0.004637651860537074,15,Model 3: Fully adjusted
log_lead,0.6255270279604154,0.084188192082804,-5.572761788003798,5.329002574362413e-5,0.5227752583621122,0.7484747153775176,15,Model 3: Fully adjusted
age,1.0825519219284556,0.0034400164898566845,23.058361728236633,3.977611370388041e-13,1.0746434401619562,1.0905186035420054,15,Model 3: Fully adjusted
sexFemale,0.5784707020660549,0.10832507427327494,-5.053007181945759,1.429349432500711e-4,0.4592057976003553,0.728711080952031,15,Model 3: Fully adjusted
race_ethOther Hispanic,0.9286429065058699,0.17920449792150364,-0.41310904434763324,0.6853716871783035,0.6338161539863171,1.3606116574654026,15,Model 3: Fully adjusted
race_ethNon-Hispanic White,0.5610758445278133,0.15901000726231795,-3.634357342097294,0.0024470627610107165,0.3997879509437474,0.7874326941806559,15,Model 3: Fully adjusted
race_ethNon-Hispanic Black,1.843958904736231,0.12564061993938633,4.870358322383943,2.0380005220239507e-4,1.4107453710695104,2.4102042169227906,15,Model 3: Fully adjusted
race_ethNon-Hispanic Asian,2.7580958824507587,0.2551233923871752,3.976666092765496,0.0012156850869959677,1.6012072968063846,4.750848258038926,15,Model 3: Fully adjusted
race_ethOther/Multiracial,1.026170491307795,0.2757769895706147,0.0936767924301784,0.9266057256671257,0.5700844134838106,1.8471402696239216,15,Model 3: Fully adjusted
educ9-11th grade,0.6720676271299555,0.256153659741089,-1.5513981268666313,0.14164604319933327,0.38931172387001994,1.1601882700734958,15,Model 3: Fully adjusted
educHigh school/GED,0.6046698663820056,0.20617439107481075,-2.440034587541975,0.027575698457146497,0.38964354014055397,0.9383593198505035,15,Model 3: Fully adjusted
educSome college/AA,0.5405514110178729,0.2704692439812299,-2.274438009491649,0.03805603637827735,0.30371756373681036,0.9620643085581266,15,Model 3: Fully adjusted
educCollege graduate+,0.42480701351481304,0.32870007623103353,-2.604563737404418,0.01991720141959873,0.2108247778706624,0.8559762308493193,15,Model 3: Fully adjusted
pir,0.9776243376738905,0.016719322291086997,-1.3535115330295149,0.19593796547384223,0.9433987930970267,1.0130915500482478,15,Model 3: Fully adjusted
bmi,1.0883311685215702,0.0066962764039013144,12.64067966216342,2.1166329238482574e-9,1.0729079899079161,1.1039760571427792,15,Model 3: Fully adjusted
smoke_statusFormer,0.888614754952451,0.11964569319551303,-0.9870099018706149,0.3392922705835971,0.6885893169963541,1.1467447478906871,15,Model 3: Fully adjusted
smoke_statusCurrent,1.678154304667793,0.18471531435029398,2.802661831953866,0.013387629668713671,1.1319968402483644,2.4878177837114444,15,Model 3: Fully adjusted
fiber_z,1.0022246104837296,0.07694428796523957,0.028879852686463196,0.9773411566420211,0.8506277030021633,1.1808387691985491,15,Model 3: Fully adjusted
